"spineID","segmentID","point","anchor","xBackgroundOffset","yBackgroundOffset"
"0","0","POINT Z (431 239 31)","POINT Z (425 225 31)",21.0,0.0
"1","0","POINT Z (382 250 31)","POINT Z (378 236 31)",21.0,14.0
"2","0","POINT Z (416 245 31)","POINT Z (414 228 31)",21.0,14.0
"3","0","POINT Z (447 231 30)","POINT Z (444 218 31)",21.0,21.0
"4","0","POINT Z (486 229 32)","POINT Z (477 213 31)",21.0,14.0
"5","0","POINT Z (530 216 30)","POINT Z (527 206 31)",21.0,-7.0
"6","0","POINT Z (557 219 31)","POINT Z (557 204 31)",21.0,7.0
"7","0","POINT Z (579 213 31)","POINT Z (575 203 30)",21.0,0.0
"8","0","POINT Z (652 221 30)","POINT Z (653 202 30)",21.0,7.0
"9","0","POINT Z (667 221 30)","POINT Z (662 203 30)",21.0,14.0
"10","0","POINT Z (717 224 29)","POINT Z (721 215 28)",21.0,-7.0
"11","0","POINT Z (696 221 29)","POINT Z (698 207 30)",-21.0,21.0
"12","0","POINT Z (749 228 29)","POINT Z (745 214 29)",21.0,7.0
"13","0","POINT Z (759 237 30)","POINT Z (763 214 29)",21.0,21.0
"14","0","POINT Z (775 232 30)","POINT Z (778 214 29)",21.0,21.0
"15","0","POINT Z (784 226 28)","POINT Z (779 214 29)",21.0,21.0
"16","0","POINT Z (887 255 29)","POINT Z (897 240 28)",14.0,-21.0
"17","0","POINT Z (940 262 27)","POINT Z (939 251 29)",21.0,-21.0
"18","0","POINT Z (950 260 29)","POINT Z (954 250 28)",21.0,21.0
"19","0","POINT Z (1007 264 29)","POINT Z (1006 245 28)",21.0,-14.0
"20","0","POINT Z (1013 230 28)","POINT Z (1017 244 28)",-21.0,-7.0
"21","0","POINT Z (1007 233 28)","POINT Z (1002 246 28)",-21.0,-21.0
"22","0","POINT Z (990 225 27)","POINT Z (991 249 28)",-21.0,-14.0
"23","0","POINT Z (972 235 29)","POINT Z (976 250 28)",-21.0,-14.0
"24","0","POINT Z (920 235 29)","POINT Z (917 249 28)",-21.0,0.0
"25","0","POINT Z (889 223 28)","POINT Z (879 235 28)",-21.0,21.0
"26","0","POINT Z (877 219 27)","POINT Z (870 230 28)",-21.0,21.0
"27","0","POINT Z (874 210 28)","POINT Z (863 227 28)",-21.0,-7.0
"28","0","POINT Z (815 204 30)","POINT Z (812 215 29)",-21.0,-14.0
"29","0","POINT Z (782 201 28)","POINT Z (785 214 29)",-21.0,-14.0
"30","0","POINT Z (754 193 29)","POINT Z (757 214 29)",-21.0,21.0
"31","0","POINT Z (736 201 28)","POINT Z (734 214 29)",-21.0,-14.0
"32","0","POINT Z (706 199 28)","POINT Z (700 208 30)",-21.0,7.0
"33","0","POINT Z (695 184 29)","POINT Z (691 206 30)",-21.0,-21.0
"34","0","POINT Z (664 193 29)","POINT Z (664 203 30)",-21.0,7.0
"35","0","POINT Z (645 193 30)","POINT Z (640 202 30)",-21.0,21.0
"36","0","POINT Z (622 187 31)","POINT Z (626 201 30)",-21.0,14.0
"37","0","POINT Z (591 189 30)","POINT Z (591 202 30)",-21.0,7.0
"38","0","POINT Z (565 188 30)","POINT Z (569 203 30)",-21.0,-14.0
"39","0","POINT Z (560 192 30)","POINT Z (559 204 31)",-21.0,-21.0
"40","0","POINT Z (551 191 31)","POINT Z (546 206 31)",-21.0,7.0
"41","0","POINT Z (538 190 30)","POINT Z (540 206 31)",-21.0,-7.0
"42","0","POINT Z (518 190 30)","POINT Z (513 209 31)",-21.0,-21.0
"43","0","POINT Z (504 194 32)","POINT Z (506 209 31)",-21.0,-14.0
"44","0","POINT Z (467 187 32)","POINT Z (471 213 31)",-21.0,21.0
"45","0","POINT Z (450 190 33)","POINT Z (455 216 31)",-21.0,-21.0
"46","0","POINT Z (430 213 31)","POINT Z (432 224 31)",-21.0,-7.0
"47","0","POINT Z (403 214 32)","POINT Z (410 231 31)",-21.0,-14.0
"48","0","POINT Z (378 225 30)","POINT Z (380 236 31)",-21.0,-21.0
"49","0","POINT Z (373 218 30)","POINT Z (376 236 31)",-21.0,-21.0
"50","0","POINT Z (801 206 29)","POINT Z (805 215 29)",-21.0,21.0
"51","1","POINT Z (345 260 29)","POINT Z (358 257 31)",21.0,-21.0
"52","1","POINT Z (365 299 29)","POINT Z (381 285 30)",14.0,-21.0
"53","1","POINT Z (393 279 29)","POINT Z (387 291 29)",-21.0,14.0
"54","1","POINT Z (428 301 29)","POINT Z (407 311 28)",-21.0,7.0
"55","1","POINT Z (437 332 26)","POINT Z (429 340 27)",-7.0,21.0
"56","1","POINT Z (432 355 27)","POINT Z (438 345 27)",-21.0,21.0
"57","1","POINT Z (463 348 26)","POINT Z (452 357 26)",21.0,-21.0
"58","1","POINT Z (474 351 26)","POINT Z (473 367 25)",-14.0,21.0
"59","1","POINT Z (473 380 26)","POINT Z (473 366 25)",-21.0,21.0
"60","1","POINT Z (458 368 25)","POINT Z (466 363 26)",14.0,-14.0
"61","1","POINT Z (501 399 23)","POINT Z (505 385 23)",14.0,-21.0
"62","1","POINT Z (516 377 23)","POINT Z (517 385 22)",-21.0,0.0
"63","1","POINT Z (524 401 23)","POINT Z (524 386 22)",21.0,-7.0
"64","1","POINT Z (531 399 22)","POINT Z (527 387 22)",21.0,-14.0
"65","1","POINT Z (534 410 21)","POINT Z (543 396 21)",21.0,-21.0
"66","1","POINT Z (564 414 21)","POINT Z (558 399 20)",21.0,-21.0
"67","1","POINT Z (583 388 20)","POINT Z (586 398 21)",-21.0,7.0
"68","1","POINT Z (587 390 20)","POINT Z (585 398 21)",-14.0,7.0
"69","1","POINT Z (591 409 20)","POINT Z (590 398 21)",-21.0,14.0
"70","1","POINT Z (627 438 20)","POINT Z (638 416 21)",21.0,14.0
"71","1","POINT Z (651 432 20)","POINT Z (646 418 20)",21.0,21.0
"72","1","POINT Z (682 406 20)","POINT Z (682 420 20)",21.0,-14.0
"73","1","POINT Z (498 393 23)","POINT Z (505 385 23)",-21.0,21.0
"74","1","POINT Z (692 420 23)","POINT Z (689 427 21)",-14.0,21.0
"75","1","POINT Z (377 266 30)","POINT Z (372 274 30)",-14.0,21.0
"76","2","POINT Z (264 545 26)","POINT Z (247 542 26)",21.0,21.0
"77","2","POINT Z (250 573 25)","POINT Z (240 571 25)",21.0,21.0
"78","2","POINT Z (260 659 19)","POINT Z (242 666 21)",-21.0,21.0
"79","2","POINT Z (216 675 19)","POINT Z (244 671 21)",-14.0,-21.0
"80","2","POINT Z (263 674 19)","POINT Z (246 681 19)",-14.0,21.0
"81","2","POINT Z (232 690 19)","POINT Z (249 685 21)",21.0,-21.0
"82","2","POINT Z (234 710 19)","POINT Z (257 699 20)",21.0,-21.0
"83","2","POINT Z (268 734 19)","POINT Z (280 728 19)",-21.0,21.0
"84","2","POINT Z (274 703 19)","POINT Z (267 714 20)",-14.0,21.0
"85","2","POINT Z (324 739 18)","POINT Z (297 749 19)",-21.0,0.0
"86","2","POINT Z (322 762 18)","POINT Z (302 761 19)",-7.0,21.0
"87","2","POINT Z (325 788 19)","POINT Z (314 794 19)",-21.0,14.0
"88","2","POINT Z (296 805 19)","POINT Z (315 798 19)",21.0,-14.0
"89","2","POINT Z (343 822 19)","POINT Z (334 833 20)",-21.0,14.0
"90","2","POINT Z (326 837 19)","POINT Z (337 836 19)",14.0,-21.0
"91","2","POINT Z (327 865 19)","POINT Z (344 869 20)",-7.0,-21.0
"92","2","POINT Z (353 842 18)","POINT Z (340 843 19)",-21.0,21.0
"93","2","POINT Z (331 915 19)","POINT Z (343 918 19)",0.0,21.0
"94","2","POINT Z (322 932 19)","POINT Z (344 922 19)",-14.0,-21.0
"95","2","POINT Z (328 963 19)","POINT Z (357 952 19)",21.0,-21.0
"96","2","POINT Z (347 974 19)","POINT Z (364 959 20)",21.0,-21.0
"97","2","POINT Z (361 989 19)","POINT Z (378 977 20)",21.0,-21.0
"98","2","POINT Z (374 993 20)","POINT Z (386 985 20)",14.0,-21.0
"99","2","POINT Z (402 981 20)","POINT Z (393 993 20)",-21.0,21.0
"100","2","POINT Z (376 946 20)","POINT Z (365 961 20)",-21.0,21.0
"101","2","POINT Z (364 946 20)","POINT Z (354 949 19)",-21.0,21.0
"102","2","POINT Z (357 860 18)","POINT Z (344 862 19)",21.0,21.0
"103","2","POINT Z (269 694 22)","POINT Z (259 703 20)",-21.0,14.0
"104","2","POINT Z (353 892 18)","POINT Z (342 885 19)",21.0,21.0
"105","2","POINT Z (319 887 18)","POINT Z (342 894 19)",14.0,-21.0
"106","2","POINT Z (334 789 18)","POINT Z (315 800 20)",-21.0,14.0
"107","2","POINT Z (340 804 18)","POINT Z (321 811 19)",0.0,21.0
"108","2","POINT Z (348 832 20)","POINT Z (340 843 19)",7.0,21.0
"109","2","POINT Z (423 1009 21)","POINT Z (416 1020 20)",0.0,-21.0
"110","2","POINT Z (257 592 22)","POINT Z (240 583 24)",21.0,21.0
"111","2","POINT Z (229 583 23)","POINT Z (240 586 24)",-14.0,-21.0
"112","2","POINT Z (226 629 21)","POINT Z (239 630 21)",14.0,-21.0
"113","3","POINT Z (210 250 39)","POINT Z (221 261 35)",-21.0,-14.0
"114","3","POINT Z (240 281 39)","POINT Z (224 259 36)",21.0,21.0
"115","3","POINT Z (276 226 37)","POINT Z (273 249 36)",-21.0,14.0
"116","3","POINT Z (293 265 37)","POINT Z (285 248 36)",21.0,-14.0
"117","3","POINT Z (322 261 33)","POINT Z (318 243 34)",21.0,-7.0
"118","3","POINT Z (333 255 33)","POINT Z (328 241 33)",21.0,7.0
"119","3","POINT Z (321 232 35)","POINT Z (316 244 34)",-21.0,-21.0
"120","3","POINT Z (299 237 35)","POINT Z (295 248 35)",-21.0,0.0
"121","3","POINT Z (182 258 38)","POINT Z (190 271 36)",-21.0,14.0
"122","3","POINT Z (350 220 31)","POINT Z (345 240 32)",-21.0,-7.0
"123","3","POINT Z (336 221 31)","POINT Z (339 241 33)",-21.0,-21.0
"124","4","POINT Z (185 319 29)","POINT Z (171 329 31)",-21.0,21.0
"125","4","POINT Z (185 328 29)","POINT Z (177 337 31)",0.0,21.0
"126","4","POINT Z (208 365 28)","POINT Z (195 371 30)",-21.0,21.0
"127","4","POINT Z (194 394 28)","POINT Z (205 390 30)",14.0,-14.0
"128","4","POINT Z (206 352 30)","POINT Z (188 361 30)",-21.0,21.0
"129","4","POINT Z (223 498 30)","POINT Z (244 489 28)",0.0,-21.0
"130","4","POINT Z (236 435 27)","POINT Z (225 438 29)",-14.0,21.0
"131","4","POINT Z (251 469 27)","POINT Z (238 476 28)",0.0,21.0
"132","4","POINT Z (219 384 27)","POINT Z (203 388 29)",-21.0,21.0
"133","4","POINT Z (148 322 33)","POINT Z (166 313 31)",21.0,-21.0
"134","4","POINT Z (171 362 32)","POINT Z (185 357 30)",14.0,-21.0
"135","4","POINT Z (236 420 28)","POINT Z (220 420 28)",-21.0,21.0
"136","4","POINT Z (253 486 29)","POINT Z (242 487 28)",-14.0,21.0
"137","4","POINT Z (234 405 27)","POINT Z (215 409 29)",-21.0,14.0
"138","4","POINT Z (159 332 32)","POINT Z (172 328 31)",14.0,-21.0
